designator,x,y,rotation,value,package
C1,28.75,39.08,225, 100nF, C0603
C10,60.43,26.45,90, 100nF, C0603
C11,60.33,23.23,0, 100nF, C0603
C12,55.07,10.4,270, 2.2uF, C0603
C13,62.98,54.72,90, 100nF, C0603
C14,26.19,31.39,135, 15pF, C0603
C15,32.79,37.85,315, 15pF, C0603
C16,28.48,17.31,180, 100nF, C0603
C17,60.76,54.72,90, 2.2uF, C0603
C18,30.66,48.53,90, 22uF, C0805
C2,23.82,28.59,180, 2.2uF, C0603
C22,31.3,41.6,45, 22uF, C0805
C3,52.56,10.55,270, 22uF, C0805
C4,42.12,11.59,270, 22uF, C0805
C5,34.86,48.25,90, 100nF, C0603
C6,16.79,44.35,45, 100nF, C0603
C7,65.29,54.88,90, 22uF, C0805
C8,25.46,48.04,315, 100nF, C0603
C9,21.26,35.18,135, 100nF, C0603
CF1,30.25,54.08,180, 10nF, C0805
CF2,25.68,54.08,180, 10nF, C0805
CF3,21.11,54.08,180, 10nF, C0805
CFV,34.81,54.08,180, 10nF, C0805
CT1,46.6,71.84,0, STEREO_SMD, STEREO_SMT
CT2,33.82,71.84,0, STEREO_SMD, STEREO_SMT
CT3,21.05,71.84,0, STEREO_SMD, STEREO_SMT
FB1,59.63,15.46,180, 0R, BEADC1608X95N
FB2,35.31,44.67,180, 0R, BEADC1608X95N
HSE,29.63,34.24,45, 8MHZ, CTS406
IC1,56.39,26.45,90, CP2102, MLP28
JP6,36.7,15.29,270, JUMPER-SMT_2_NC_TRACE_NO-SILK, SMT-JUMPER_2_NC_TRACE_NO-SILK
LED1,9.45,39.08,180, Red 1.85V, CHIP-LED0805
LED2,67.38,22.13,0, , CHIP-LED0805
MCP1825,47.33,11.5,180, MCP1825SOT-223-3, SOT-223
Q1,48.27,28.03,90, , SOT23-R
Q2,48.28,24.58,90, , SOT23-R
R1,21.69,17.62,0, 4.7k, R0603
R10,26.92,36.41,135, 10k, R0603
R11,51.68,28.29,0, 10k, R0603
R12,67.34,18.62,270, 510R, R0603
R13,39.12,9.97,0, 0R, R0603
R19,58.89,65.16,180, 10k, R0603
R2,16.72,35.74,270, 10k, R0603
R20,62.89,65.16,180, 120k, R0603
R22,33.23,45.86,270, 10k, R0603
R23,32.75,49.36,270, 10k, R0603
R3,12.8,40.11,0, 330R, R0603
R4,25.52,26.35,270, 10k, R0603
R8,43.95,23.47,90, 120k, R0603
R9,51.78,24.98,0, 10k, R0603
RB1,47.34,61.49,0, 22r, R0603
RB2,34.62,61.49,0, 6R8, R0603
RB3,21.93,61.49,0, 6R8, R0603
RF1,30.25,57.08,180, 9k1, R0603
RF2,25.68,57.08,180, 9k1, R0603
RF3,21.11,57.08,180, 9k1, R0603
RFV,34.81,57.08,180, 9k1, R0603
STM32,23.04,42.03,135, STM32F302_303C2, LQFP48-7X7MM
U$1,59.43,75.21,270, 2.1MMJACKSMT, DCJACK_2MM_SMT
U$3,43.47,45.51,0, 47219-2001_MICROSD, 47219-2001_MICROSD
U1,62.67,41.73,270, ESP32-WROOM-32D, MODULE_ESP32-WROOM-32D
U2,43.44,56.02,45, , SOT23-WIDE
