Part;Value;Device;Package;Description;ALLIED_NUMBER;ALLIED_PRICE-STOCK;AVAILABILITY;CREATED_BY;DESCRIPTION;DIGIKEY_PART_NUMBER;HEIGHT;MANUFACTURER;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MF;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;POPULARITY;PRICE;PROD_ID;RS_PART_NUMBER;RS_PRICE-STOCK;SPICEPREFIX;TP_SIGNAL_NAME;VALUE
BOOT_ESP;;M02PTH;1X02;Header 2;;;;;;;;;;;;;;;;;;;;;;;;;;
BOOT_STM;;M02PTH;1X02;Header 2;;;;;;;;;;;;;;;;;;;;;;;;;;
C1;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
C2;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
C3;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;88;;;;;C;;
C4;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;88;;;;;C;;
C5;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
C6;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
C7;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;88;;;;;C;;
C8;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
C9;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
C10;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;88;;;;;C;;
C11;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;88;;;;;C;;
