EAGLE Version 9.6.1 Copyright (c) 1988-2020 Autodesk, Inc.
List of signals with length and its max. frequency / current
exported from /Users/d4/Documents/github/emonSTM32-db/Hardware/stm32-pi_full/stm32 v0.8.brd
at 02/06/2020 21:28
Signal	f max. [MHz]	l [mm]	A [mm2]	R [mOhm]	w min [mm]	w max [mm]	Imax [A]
BIAS	    502.82	596.232	0.009	1166.98	 0.254	 0.305	  0.80
SPI4_CLK_MASTER	    781.04	383.848	0.006	1073.27	 0.178	 0.178	  0.57
+5V	    809.20	370.489	0.011	 604.28	 0.305	 0.508	  0.95
SPI4_MISO_MASTER	    971.81	308.497	0.006	 862.58	 0.178	 0.178	  0.57
GND	   1001.57	299.330	0.007	 732.33	 0.203	 0.500	  0.65
NRST_STM	   1040.53	288.123	0.006	 805.62	 0.178	 0.254	  0.57
SDA	   1223.11	245.114	0.006	 685.36	 0.178	 0.178	  0.57
SPI1_MISO_SLAVE	   1259.08	238.110	0.006	 665.77	 0.178	 0.178	  0.57
SCL	   1335.57	224.474	0.006	 627.65	 0.178	 0.178	  0.57
BOOT0	   1797.37	166.799	0.006	 466.38	 0.178	 0.178	  0.57
UART1_RX	   2055.24	145.871	0.006	 407.87	 0.178	 0.178	  0.57
+3V3	   2059.68	145.557	0.009	 284.89	 0.254	 0.508	  0.80
UART1_TX	   2154.17	139.172	0.006	 389.14	 0.178	 0.178	  0.57
SPI4_MOSI_MASTER	   2470.35	121.359	0.006	 339.33	 0.178	 0.178	  0.57
USART3_RX	   2682.54	111.760	0.006	 312.49	 0.178	 0.178	  0.57
RPI_GPIO20	   2848.07	105.264	0.006	 294.33	 0.178	 0.178	  0.57
ADC_2_RJ45IN	   2985.87	100.406	0.006	 280.74	 0.178	 0.203	  0.57
EXT_TERM3	   3002.62	 99.846	0.006	 279.18	 0.178	 0.500	  0.57
RPI_GPIO16	   3457.69	 86.705	0.006	 242.44	 0.178	 0.178	  0.57
DS18B20_RJ45	   3463.27	 86.566	0.006	 242.04	 0.178	 0.254	  0.57
RST_RFM	   3467.10	 86.470	0.006	 241.78	 0.178	 0.178	  0.57
LED1_GREEN	   3555.62	 84.317	0.006	 235.76	 0.178	 0.178	  0.57
VMOS2	   3604.49	 83.174	0.006	 232.56	 0.178	 0.254	  0.57
VMOS1	   3772.06	 79.479	0.006	 222.23	 0.178	 0.254	  0.57
MOS1	   3794.04	 79.019	0.006	 220.94	 0.178	 0.254	  0.57
ADC_RJ45IN	   3828.17	 78.314	0.006	 218.97	 0.178	 0.178	  0.57
CT1	   3886.82	 77.133	0.009	 150.97	 0.254	 0.254	  0.80
VSIG1	   4167.31	 71.941	0.009	 140.81	 0.254	 0.254	  0.80
PULSE_2_RJ45	   4212.99	 71.161	0.006	 198.97	 0.178	 0.178	  0.57
LED2_YELLOW	   4306.10	 69.622	0.006	 194.67	 0.178	 0.178	  0.57
LED3_RED	   4544.61	 65.968	0.006	 184.45	 0.178	 0.178	  0.57
SPI4_CS_RFM69_MASTER	   4596.90	 65.218	0.006	 182.35	 0.178	 0.178	  0.57
SPI4_CS_SDCARD_MASTER	   4602.14	 65.144	0.006	 182.15	 0.178	 0.203	  0.57
MOS2	   4650.07	 64.472	0.006	 180.27	 0.178	 0.254	  0.57
CT9	   4724.02	 63.463	0.009	 124.21	 0.254	 0.254	  0.80
EXT_TERM2	   4802.56	 62.425	0.006	 174.55	 0.178	 0.203	  0.57
CT8	   4893.86	 61.260	0.009	 119.90	 0.254	 0.254	  0.80
EXT_TERM1	   4906.46	 61.103	0.006	 170.85	 0.178	 0.254	  0.57
SPI1_CLK_SLAVE	   4952.21	 60.539	0.006	 169.27	 0.178	 0.203	  0.57
BUTTON1_STM	   5106.30	 58.712	0.006	 164.16	 0.178	 0.178	  0.57
VSIG2	   5230.21	 57.321	0.009	 112.19	 0.254	 0.254	  0.80
CT2	   5367.33	 55.856	0.009	 109.33	 0.254	 0.254	  0.80
VSIG3	   5367.53	 55.854	0.009	 109.32	 0.254	 0.254	  0.80
MOS9	   5420.80	 55.306	0.006	 154.64	 0.178	 0.254	  0.57
SPI1_NSS_SLAVE	   5488.23	 54.626	0.006	 152.74	 0.178	 0.254	  0.57
MOS3	   5615.07	 53.392	0.006	 149.29	 0.178	 0.203	  0.57
CT7	   5676.55	 52.814	0.009	 103.37	 0.254	 0.254	  0.80
VREF+	   5791.10	 51.769	0.006	 144.75	 0.178	 0.305	  0.57
PULSE1_RJ45	   5855.39	 51.201	0.006	 143.16	 0.178	 0.178	  0.57
VMOS3	   5869.77	 51.075	0.006	 142.81	 0.178	 0.254	  0.57
BUTTON1	   6467.35	 46.356	0.006	 129.61	 0.178	 0.254	  0.57
HSPI_CS0	   6507.37	 46.071	0.006	 128.82	 0.178	 0.178	  0.57
SPI1_MOSI_SLAVE	   6751.67	 44.404	0.006	 124.16	 0.178	 0.178	  0.57
MOS4	   6853.02	 43.747	0.006	 122.32	 0.178	 0.203	  0.57
CT3	   6889.68	 43.514	0.009	  85.17	 0.254	 0.254	  0.80
RPI_PWR	   7079.06	 42.350	0.006	 118.41	 0.178	 0.254	  0.57
MOS8	   7452.54	 40.228	0.006	 112.48	 0.178	 0.178	  0.57
DIO0_RFM	   7615.00	 39.370	0.006	 110.08	 0.178	 0.178	  0.57
N$26	   7829.51	 38.291	0.009	  74.95	 0.254	 0.254	  0.80
CT6	   7856.11	 38.161	0.009	  74.69	 0.254	 0.254	  0.80
N$27	   7930.61	 37.803	0.009	  73.99	 0.254	 0.254	  0.80
N$28	   7944.98	 37.735	0.009	  73.86	 0.254	 0.254	  0.80
MBUS_I/O	   8055.14	 37.218	0.009	  72.85	 0.254	 0.300	  0.80
ESP_PWR	   8126.09	 36.894	0.006	 103.16	 0.178	 0.203	  0.57
MOS5	   8903.87	 33.671	0.006	  94.15	 0.178	 0.203	  0.57
CT4	   8920.94	 33.606	0.009	  65.78	 0.254	 0.254	  0.80
MOS7	   8925.36	 33.590	0.006	  93.92	 0.178	 0.203	  0.57
HSPI_ID/MOSI	   9203.91	 32.573	0.006	  91.08	 0.178	 0.178	  0.57
AC1	  10092.02	 29.707	0.006	  83.06	 0.178	 0.254	  0.57
UART2_TX	  10365.91	 28.922	0.006	  80.87	 0.178	 0.254	  0.57
UART2_RX	  10999.26	 27.256	0.006	  76.21	 0.178	 0.254	  0.57
N$39	  11297.14	 26.538	0.006	  74.20	 0.178	 0.254	  0.57
N$10	  11356.70	 26.399	0.006	  73.81	 0.178	 0.254	  0.57
CT5	  11358.80	 26.394	0.009	  51.66	 0.254	 0.254	  0.80
N$38	  11707.13	 25.608	0.006	  71.60	 0.178	 0.254	  0.57
N$2	  11833.83	 25.334	0.009	  49.59	 0.254	 0.254	  0.80
CT_IN2	  12016.35	 24.949	0.009	  48.83	 0.254	 0.254	  0.80
N$8	  12033.10	 24.915	0.009	  48.76	 0.254	 0.254	  0.80
CT_IN1	  12054.29	 24.871	0.009	  48.68	 0.254	 0.254	  0.80
CT_IN3	  12198.61	 24.577	0.009	  48.10	 0.254	 0.254	  0.80
USART3_TX	  12332.40	 24.310	0.006	  67.97	 0.178	 0.203	  0.57
N$40	  12383.41	 24.210	0.006	  67.69	 0.178	 0.254	  0.57
MOS6	  12628.37	 23.740	0.006	  66.38	 0.178	 0.254	  0.57
UART5_RX	  12917.05	 23.210	0.006	  64.90	 0.178	 0.178	  0.57
N$31	  13122.11	 22.847	0.011	  37.86	 0.300	 0.300	  0.93
N$15	  13240.59	 22.642	0.006	  63.31	 0.178	 0.178	  0.57
N$32	  13812.37	 21.705	0.006	  60.69	 0.178	 0.300	  0.57
HSPI_CLK	  13882.52	 21.595	0.006	  60.38	 0.178	 0.178	  0.57
UART5_TX	  16445.20	 18.230	0.006	  50.97	 0.178	 0.178	  0.57
RXD0_ESP	  16634.11	 18.023	0.006	  50.39	 0.178	 0.178	  0.57
HSPI_Q/MISO	  16710.37	 17.941	0.006	  50.16	 0.178	 0.203	  0.57
SWCLK	  17188.04	 17.442	0.006	  48.77	 0.178	 0.178	  0.57
SD_CS_	  17726.16	 16.913	0.006	  47.29	 0.178	 0.178	  0.57
VBAT	  18211.01	 16.463	0.006	  46.03	 0.178	 0.203	  0.57
SWDIO	  18709.02	 16.024	0.006	  44.81	 0.178	 0.178	  0.57
+24V	  19849.68	 15.104	0.011	  25.03	 0.300	 0.305	  0.93
SD_CLK	  20427.18	 14.677	0.006	  41.04	 0.178	 0.178	  0.57
TXD0_ESP	  20499.54	 14.625	0.006	  40.89	 0.178	 0.178	  0.57
ANT	  21373.70	 14.027	0.028	   8.58	 0.813	 0.813	  2.45
HSE_IN	  21775.90	 13.768	0.006	  38.50	 0.178	 0.254	  0.57
PC14	  23195.99	 12.925	0.007	  31.62	 0.203	 0.254	  0.65
BIAS_IN	  23492.88	 12.761	0.006	  35.68	 0.178	 0.305	  0.57
SD_MISO	  24852.98	 12.063	0.006	  33.73	 0.178	 0.178	  0.57
AC2_MOS	  25380.68	 11.812	0.009	  23.12	 0.254	 0.254	  0.80
AC3_MOS	  25691.06	 11.669	0.009	  22.84	 0.254	 0.254	  0.80
AC2	  25757.44	 11.639	0.009	  22.78	 0.254	 0.254	  0.80
AC1_MOS	  25997.63	 11.532	0.009	  22.57	 0.254	 0.254	  0.80
AC3	  26755.57	 11.205	0.006	  31.33	 0.178	 0.254	  0.57
N$17	  26890.02	 11.149	0.006	  31.17	 0.178	 0.178	  0.57
SD_MOSI	  27223.80	 11.012	0.006	  30.79	 0.178	 0.305	  0.57
PC15	  27315.80	 10.975	0.007	  26.85	 0.203	 0.254	  0.65
N$33	  31479.28	  9.524	0.011	  15.78	 0.300	 0.300	  0.93
N$30	  31778.14	  9.434	0.011	  15.63	 0.300	 0.300	  0.93
HSE_OUT_	  32388.17	  9.256	0.007	  22.65	 0.203	 0.300	  0.65
SCL_	  33242.74	  9.019	0.006	  25.22	 0.178	 0.178	  0.57
N$7	  33269.08	  9.011	0.011	  14.70	 0.305	 0.305	  0.95
N$1	  40898.12	  7.330	0.012	  10.41	 0.350	 0.350	  1.08
N$12	  55698.99	  5.383	0.011	   8.78	 0.305	 0.305	  0.95
N$46	  58516.02	  5.123	0.009	  10.03	 0.254	 0.254	  0.80
ESP_PWR_PRE	  60362.96	  4.967	0.006	  13.89	 0.178	 0.500	  0.57
N$23	  61134.75	  4.904	0.006	  13.71	 0.178	 0.178	  0.57
N$21	  61192.65	  4.899	0.006	  13.70	 0.178	 0.178	  0.57
N$49	  61546.04	  4.871	0.009	   9.53	 0.254	 0.254	  0.80
N$45	  61856.38	  4.847	0.009	   9.49	 0.254	 0.254	  0.80
N$48	  62145.92	  4.824	0.009	   9.44	 0.254	 0.254	  0.80
N$47	  63668.95	  4.709	0.009	   9.22	 0.254	 0.254	  0.80
N$20	  64460.95	  4.651	0.006	  13.00	 0.178	 0.178	  0.57
N$37	  65254.69	  4.594	0.009	   8.99	 0.254	 0.254	  0.80
BOOT0_RPI	  79751.91	  3.759	0.006	  10.51	 0.178	 0.178	  0.57
N$14	  94772.48	  3.163	0.011	   5.24	 0.300	 0.300	  0.93
N$9	 110778.62	  2.706	0.006	   7.57	 0.178	 0.178	  0.57
N$18	 115733.74	  2.590	0.006	   7.24	 0.178	 0.178	  0.57
HSE_OUT	 119113.88	  2.517	0.007	   6.16	 0.203	 0.203	  0.65
N$41	 152818.58	  1.962	0.006	   5.49	 0.178	 0.178	  0.57
N$16	 155520.54	  1.928	0.006	   5.39	 0.178	 0.178	  0.57
RPI_GPIO16_RPI	 157627.52	  1.902	0.006	   5.32	 0.178	 0.406	  0.57
RPI_GPIO20_RPI	 160080.02	  1.873	0.006	   5.24	 0.178	 0.406	  0.57
BIAS*	 164066.63	  1.827	0.009	   3.58	 0.254	 0.254	  0.80
NRST_STM_ESP	 164099.55	  1.827	0.006	   5.11	 0.178	 0.178	  0.57
N$5	 169845.00	  1.765	0.006	   4.94	 0.178	 0.178	  0.57
N$6	 187375.00	  1.600	0.006	   4.47	 0.178	 0.178	  0.57
N$11	 195228.46	  1.536	0.006	   4.29	 0.178	 0.178	  0.57
RPI_MISO	 201808.63	  1.486	0.014	   1.82	 0.406	 0.406	  1.25
RPI_MOSI	 201808.63	  1.486	0.014	   1.82	 0.406	 0.406	  1.25
RPI_SPI_CLK	 201808.63	  1.486	0.014	   1.82	 0.406	 0.406	  1.25
NRST_STM_RPI	 210220.18	  1.426	0.006	   3.99	 0.178	 0.178	  0.57
SDA_	 217280.86	  1.380	0.006	   3.86	 0.178	 0.178	  0.57
