Part;Value;Device;Package;Description;ALLIED_NUMBER;ALLIED_PRICE-STOCK;AVAILABILITY;CATEGORY;DESCRIPTION;FORWARD_CURRENT;HEIGHT;MANUFACTURER;MANUFACTURER_NAME;MANUFACTURER_PART_NUMBER;MF;MOUSER_PART_NUMBER;MOUSER_PRICE-STOCK;MP;MPN;OC_FARNELL;OC_NEWARK;OPERATING_TEMP;PACKAGE;PART_STATUS;POPULARITY;PRICE;REVERSE_VOLTAGE;ROHS_COMPLIANT;RS_PART_NUMBER;RS_PRICE-STOCK;SERIES;SPICEPREFIX;SUB-CATEGORY;THERMALLOSS;TYPE;ZENER_VOLTAGE
C1;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C11;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C12;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C13;2.2uF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C14;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C15;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C17;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C18;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C19;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C2;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C20;2.2nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C21;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C22;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C23;1uF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C27;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C28;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C29;15pF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C3;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C30;15pF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C31;10pF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C32;10pF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C33;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C34;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C37;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C38;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C39;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C4;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C40;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C41;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C42;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C43;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C44;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C45;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C46;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C47;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C49;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C5;100nF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C50;1uF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;73;;;;;;;C;;;;
C51;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;88;;;;;;;C;;;;
C52;1uF;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
