--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
V1:249.41,I1:1.529,AP1:381.3,RP1:-23.9,PF1:-0.062608,Joules1:-512.427,Clip1:0,cycles1:123,samples1:7998,
V2:249.41,I2:1.486,AP2:370.6,RP2:-20.3,PF2:-0.054764,Joules2:-461.092,Clip2:0,cycles2:123,samples2:7998,
V3:249.41,I3:1.448,AP3:361.2,RP3:-12.4,PF3:-0.034233,Joules3:-403.126,Clip3:0,cycles3:123,samples3:7998,
V4:249.40,I4:1.537,AP4:383.3,RP4:-16.6,PF4:-0.043202,Joules4:-388.515,Clip4:0,cycles4:123,samples4:7998,
V5:249.39,I5:1.477,AP5:368.4,RP5:-12.0,PF5:-0.032479,Joules5:-397.075,Clip5:0,cycles5:123,samples5:7999,
V6:249.39,I6:1.492,AP6:372.0,RP6:-2.5,PF6:-0.006672,Joules6:-225.764,Clip6:0,cycles6:123,samples6:7999,
V7:249.39,I7:1.413,AP7:352.3,RP7:-8.7,PF7:-0.024790,Joules7:-307.833,Clip7:0,cycles7:123,samples7:7999,
V8:249.41,I8:1.416,AP8:353.2,RP8:-7.3,PF8:-0.020754,Joules8:-241.231,Clip8:0,cycles8:123,samples8:7998,
V9:249.41,I9:1.380,AP9:344.2,RP9:-10.1,PF9:-0.029266,Joules9:-153.126,Clip9:0,cycles9:123,samples9:7998,
Hz_estimate:50.1,millis:27541,PC:0,buffOverrun:0

V1:249.48,I1:1.528,AP1:381.3,RP1:-19.5,PF1:-0.051094,Joules1:-561.129,Clip1:0,cycles1:131,samples1:8519,
V2:249.48,I2:1.460,AP2:364.3,RP2:-12.2,PF2:-0.033578,Joules2:-491.671,Clip2:0,cycles2:131,samples2:8519,
V3:249.49,I3:1.426,AP3:355.7,RP3:-17.4,PF3:-0.048841,Joules3:-446.553,Clip3:0,cycles3:131,samples3:8519,
V4:249.49,I4:1.509,AP4:376.4,RP4:-16.4,PF4:-0.043491,Joules4:-429.439,Clip4:0,cycles4:131,samples4:8519,
V5:249.49,I5:1.464,AP5:365.2,RP5:-9.9,PF5:-0.027127,Joules5:-421.845,Clip5:0,cycles5:131,samples5:8519,
V6:249.49,I6:1.514,AP6:377.8,RP6:-10.1,PF6:-0.026691,Joules6:-250.973,Clip6:0,cycles6:131,samples6:8519,
V7:249.50,I7:1.405,AP7:350.4,RP7:-7.0,PF7:-0.020014,Joules7:-325.366,Clip7:0,cycles7:131,samples7:8518,
V8:249.48,I8:1.395,AP8:348.0,RP8:-6.4,PF8:-0.018254,Joules8:-257.113,Clip8:0,cycles8:131,samples8:8519,
V9:249.48,I9:1.377,AP9:343.6,RP9:-6.2,PF9:-0.017956,Joules9:-168.552,Clip9:0,cycles9:131,samples9:8519,
Hz_estimate:50.1,millis:30150,PC:0,buffOverrun:0

V1:249.49,I1:1.493,AP1:372.6,RP1:-15.5,PF1:-0.041715,Joules1:-599.983,Clip1:0,cycles1:123,samples1:7999,
