Qty,Value,Device,Package,Schematic Reference,Description,CREATED_BY,DIGIKEY_PART_NUMBER,MANUFACTURER,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PROD_ID,SF_ID,SPICEPREFIX,VALUE
2,,31-XX,B3F-31XX,"BUTTON1, RST",OMRON SWITCH,,,,,B3F-3100,959704,36M3582,,,,,
1,,ESP12SMD,ESP12-SMD,ESP12,ESP8266 Wifi module 12,,,,,,,,,,,,
3,,M02PTH,1X02,"BOOT_ESP, BOOT_STM, UART1",Header 2,,,,,,,,,,,,
1,,M03PTH,1X03,STLINK,Header 3,,,,,,,,,,,,
2,,MA06-1,MA06-1,"UART_ESP, UART_STM",PIN HEADER,,,,,,unknown,unknown,,,,,
1,,MA13-2,MA13-2,EXPANSION_MODULE,PIN HEADER,,,,,,unknown,unknown,,,,,
25,100nF,C-EUC0603,C0603,"C1, C2, C5, C6, C8, C9, C10, C15, C19, C20, C21, C22, C23, CF1, CF2, CF3, CF4, CF5, CF6, CF7, CF8, CF9, CFV1, CFV2, CFV3","CAPACITOR, European symbol",,,,,,,,,,,,
8,10k,R-EU_R0603,R0603,"R2, R6, R7, R22, R23, RVPU11, RVPU22, RVPU33","RESISTOR, European symbol",,,,,,,,,,,,
2,10nF,C-EUC0603,C0603,"C11, C13","CAPACITOR, European symbol",,,,,,,,,,,C,
1,10uF,C-EUC0603,C0603,C18,"CAPACITOR, European symbol",,,,,,,,,,,,
3,120k,R-EU_R0603,R0603,"RVPU1, RVPU2, RVPU3","RESISTOR, European symbol",,,,,,,,,,,,
2,1K,R-EU_R0603,R0603,"R18, R19","RESISTOR, European symbol",,,,,,,,,,,R,
2,1uF,C-EUC0603,C0603,"C12, C17","CAPACITOR, European symbol",,,,,,,,,,,,
2,1uF,C-EUC0805,C0805,"C7, C14","CAPACITOR, European symbol",,,,,,,,,,,C,
3,2.1MMJACKSMT,2.1MMJACKSMT,DCJACK_2MM_SMT,"VT1, VT2, VT3","2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537",,,,,,,,,,,,
1,220K,R-EU_R0603,R0603,R17,"RESISTOR, European symbol",,,,,,,,,,,R,
3,220R,R-EU_R0603,R0603,"R3, R4, R5","RESISTOR, European symbol",,,,,,,,,,,R,
1,22K,R-EU_R0603,R0603,R14,"RESISTOR, European symbol",,,,,,,,,,,R,
9,22r,R-EU_0207/7,0207/7,"RB10, RB11, RB12, RB13, RB14, RB15, RB16, RB17, RB18","RESISTOR, European symbol",,,,,,,,,,,R,
9,22r,R-EU_R0603,R0603,"RB1, RB2, RB3, RB4, RB5, RB6, RB7, RB8, RB9","RESISTOR, European symbol",,,,,,,,,,,,
1,32.768kHz,CRYSTAL8X3.8SMT,CRYSTAL_8X3.8,Y1,Crystals,,,,,,,,,,,,
12,330R,R-EU_R0603,R0603,"RF1, RF2, RF3, RF4, RF5, RF6, RF7, RF8, RF9, RFV1, RFV2, RFV3","RESISTOR, European symbol",,,,,,,,,,,,
1,33K,R-EU_R0603,R0603,R11,"RESISTOR, European symbol",,,,,,,,,,,R,
1,39K,R-EU_R0603,R0603,R9,"RESISTOR, European symbol",,,,,,,,,,,R,
1,3k3,R-EU_R0603,R0603,R15,"RESISTOR, European symbol",,,,,,,,,,,R,
2,4.7k,R-EU_R0603,R0603,"R1, R8","RESISTOR, European symbol",,,,,,,,,,,,
2,4.7uF,C-EUC0805,C0805,"C3, C4","CAPACITOR, European symbol",,,,,,,,,,,C,
1,47uF,C-EUC0805,C0805,C24,"CAPACITOR, European symbol",,,,,,,,,,,C,
1,82R,R-EU_R0603,R0603,R16,"RESISTOR, European symbol",,,,,,,,,,,R,
1,8MHZ ~15pFmax,CRYSTALCTS406,CTS406,HSE,CRYSTAL,,,,,,unknown,unknown,,,,,
1,BOOST_MODULE,BOOST_MODULE,BOOST,U$2,,,,,,,,,,,,,
1,MCP1501T-33E,MCP1501T-33E,SOT95P280X145-6N,VREF_3V3,,,,,,,,,,,,,
1,MCP1825SOT-223-3,MCP1825SOT-223-3,SOT-223,MCP1825,MCP1825 3.3v LDO Linear Regulator,,,,,,,,,,,,
1,MICRO-USB-RECEPTACLE47589-0001,MICRO-USB-RECEPTACLE47589-0001,47589-0001,USB_CONN,MICRO USB RECEPTACLES,,,,,,,,,,,,
2,MMBT3904,MMBT3904,SOT23,"Q2, Q3",TRANS NPN 40V 0.2A SOT-23,PCB Layout,MMBT3904FSCT-ND,ON Semiconductor,,MMBT3904,,,SOT-23-3,,,,
1,MMBT3906,MMBT3906,SOT23,Q1,TRANS PNP 40V 0.2A SOT-23,PCB Layout,MMBT3906FSCT-ND,ON Semiconductor,,MMBT3906,,,SOT-23,,,,
1,OMNIMATE_LSF_2,OMNIMATE_LSF_2,OMNIMATE_LSF_2,2POLE_MBUS,,,,,,,,,,,,,
6,OMNIMATE_LSF_3,OMNIMATE_LSF_3,OMNIMATE_LSF_3,"3POLE_1, 3POLE_2, 3POLE_3, 3POLE_4, 3POLE_5, 3POLE_6",,,,,,,,,,,,,
1,RFM12_SMDSMD,RFM12_SMDSMD,RFM12,RFM69HCW,RFM12 is a low costing ISM band transceiver,,,,,,,,,,,,
1,RJ45,RJ45-8,RJ45-8,RJ45_1,RJ45 Jack - 8 pin,,,,,,,,,CONN-08506,PRT-00643,,RJ45
1,RPI3YA,RPI3YA,RPI3MIRROR2,PCB2,Device for Raspberry Pi 3 board created by Dave Young for www.element14.com,,,,,,,,,,,,
3,Red 1.85V,LEDCHIP-LED0805,CHIP-LED0805,"LED1, LED2, LED3",LED,,,,,,,,,,,,
1,SMA_EDGE,SMA_EDGE,SMA-EDGE,J$1,SMA Antenna Connector,,,,,,,,,,,,
10,SOLDERJUMPERNO,SOLDERJUMPERNO,SJ_2S-NO,"SJ1, SJ2, SJ5, SJ6, SJ7, SJ8, SJ9, SJ10, SJ11, SJ12",Solder Jumper,,,,,,,,,,,,
9,STEREO_SMD,STEREO_SMD,STEREO_SMT,"CT1, CT2, CT3, CT4, CT5, CT6, CT7, CT8, CT9",3.5mm Stereo Jack SMT,,,,,SJ-3524-SMT-TR ,,,,,,,
1,STM32F303XB,STM32F303XB,TQFP100,STM32F303VB STM32F303VD STM32F303VE (flash size),,,,,,STM32F303VBT6TR ,,,,,,,
3,SWS001,SWS001,SMS-001,"S1, S2, S3",SMD Dip Switch 1 pol.,,,,,,,,,,,,
